Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date of Introduction,Latest Action,Latest Action Date,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
H.R. 2404,https://www.congress.gov/bill/118th-congress/house-bill/2404,118th Congress (2023-2024),Women’s Rights and Protection Act of 2023,,"Santos, George [Rep.-R-NY-3]",3/30/23,Referred to the House Committee on Foreign Affairs.,3/30/23,International Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Amdt. 376,https://www.congress.gov/amendment/118th-congress/house-amendment/376,118th Congress (2023-2024),"An amendment numbered 169 printed in Part A of House Report 118-216 to prohibit the provision of gender transition procedures, including surgery or medication, through the Exceptional Family Member Program.",H.R. 4365,"Norman, Ralph [Rep.-R-SC-5]",,On agreeing to the Norman amendment (A025) Agreed to by voice vote. ,9/27/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 220,https://www.congress.gov/bill/118th-congress/house-resolution/220,118th Congress (2023-2024),Recognizing violence against women in politics as a global phenomenon and supporting women's full and meaningful participation in political life.,,"Tlaib, Rashida [Rep.-D-MI-12]",3/10/23,"Referred to the Committee on the Judiciary, and in addition to the Committee on Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",3/10/23,Crime and Law Enforcement,Crime prevention,Crimes against women,Criminal justice information and records,Public participation and lobbying,Violent crime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 558,https://www.congress.gov/bill/118th-congress/house-resolution/558,118th Congress (2023-2024),"Expressing support for the designation of June 26 as ""LGBTQI+ Equality Day"".",,"DelBene, Suzan K. [Rep.-D-WA-1]",6/27/23,Referred to the House Committee on the Judiciary.,6/27/23,"Civil Rights and Liberties, Minority Issues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4042,https://www.congress.gov/bill/118th-congress/house-bill/4042,118th Congress (2023-2024),District of Columbia Local Juror Non-Discrimination Act of 2023,,"Norton, Eleanor Holmes [Del.-D-DC-At Large]",6/12/23,Referred to the House Committee on Oversight and Accountability.,6/12/23,Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 6177,https://www.congress.gov/bill/118th-congress/house-bill/6177,118th Congress (2023-2024),No Taxpayer Funding for Researchers Who Prey on Children Act,,"Brecheen, Josh [Rep.-R-OK-2]",11/2/23,"Referred to the Committee on Energy and Commerce, and in addition to the Committees on Education and the Workforce, Ways and Means, and Natural Resources, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",11/2/23,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4682,https://www.congress.gov/bill/118th-congress/house-bill/4682,118th Congress (2023-2024),Mercury 13 Congressional Gold Medal Act,,"Houlahan, Chrissy [Rep.-D-PA-6]",7/17/23,"Referred to the Committee on Financial Services, and in addition to the Committee on House Administration, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",7/17/23,"Science, Technology, Communications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4398,https://www.congress.gov/bill/118th-congress/house-bill/4398,118th Congress (2023-2024),Patriotism Not Pride Act,,"Brecheen, Josh [Rep.-R-OK-2]",6/30/23,Referred to the House Committee on Oversight and Accountability.,6/30/23,Government Operations and Politics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 209,https://www.congress.gov/bill/118th-congress/house-resolution/209,118th Congress (2023-2024),"Expressing the sense of the House of Representatives regarding the importance of taking a feminist approach to all aspects of foreign policy, including foreign assistance and humanitarian response, trade, diplomacy, defense, immigration, funding, and accountability mechanisms.",,"Frankel, Lois [Rep.-D-FL-22]",3/8/23,Referred to the House Committee on Foreign Affairs.,3/8/23,International Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Con.Res. 22,https://www.congress.gov/bill/118th-congress/house-concurrent-resolution/22,118th Congress (2023-2024),Recognizing the significance of equal pay and the disparity between wages paid to men and women.,,"Frankel, Lois [Rep.-D-FL-22]",3/9/23,Referred to the House Committee on Education and the Workforce.,3/9/23,Labor and Employment,Women's employment,"Sex, gender, sexual orientation discrimination",Labor standards,Employment discrimination and employee rights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 568,https://www.congress.gov/bill/118th-congress/house-resolution/568,118th Congress (2023-2024),Original LGBTQIA+ Pride Month Resolution of 2023,,"Green, Al [Rep.-D-TX-9]",6/30/23,Referred to the House Committee on the Judiciary.,6/30/23,"Civil Rights and Liberties, Minority Issues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Amdt. 647,https://www.congress.gov/amendment/118th-congress/house-amendment/647,118th Congress (2023-2024),"An amendment numbered 66 printed in Part B of House Report 118-261 to prohibit funding for the implementation of the rule entitled ""Equal Access in Accordance With an Individual's Gender Identity in Community Planning and Development Programs"".",H.R. 4820,"Norman, Ralph [Rep.-R-SC-5]",,On agreeing to the Norman amendment (A036) Failed by recorded vote: 212 - 217 (Roll no. 619). ,11/7/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Amdt. 794,https://www.congress.gov/amendment/118th-congress/house-amendment/794,118th Congress (2023-2024),"An amendment numbered 128 printed in Part B of House Report 118-272 to prohibit funds for Guidance issued by the Secretary of Health and Human Services titled ""Gender Identity Non- Discrimination and Inclusion Policy for Employees and Applicants."".",H.R. 5894,"Ogles, Andrew [Rep.-R-TN-5]",,On agreeing to the Ogles amendment (A070) Agreed to by voice vote. ,11/14/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 418,https://www.congress.gov/bill/118th-congress/house-resolution/418,118th Congress (2023-2024),"Supporting the goals and ideals of the International Day Against Homophobia, Biphobia, Interphobia, and Transphobia (IDAHOBIT).",,"Lee, Barbara [Rep.-D-CA-12]",5/17/23,"Referred to the Committee on Foreign Affairs, and in addition to the Committees on Energy and Commerce, and Education and the Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",5/17/23,"Civil Rights and Liberties, Minority Issues",Commemorative events and holidays,Foreign aid and international relief,Health care quality,Higher education,Human rights,School administration,"Sex, gender, sexual orientation discrimination",Elementary and secondary education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 697,https://www.congress.gov/bill/118th-congress/house-bill/697,118th Congress (2023-2024),Justice for All Act of 2023,,"Tlaib, Rashida [Rep.-D-MI-12]",2/1/23,"Referred to the Committee on the Judiciary, and in addition to the Committee on Education and the Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2/1/23,"Civil Rights and Liberties, Minority Issues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 337,https://www.congress.gov/bill/118th-congress/house-resolution/337,118th Congress (2023-2024),Original Fair Housing Resolution of 2023,,"Green, Al [Rep.-D-TX-9]",4/28/23,Referred to the House Committee on the Judiciary.,4/28/23,Housing and Community Development,Housing discrimination,Infectious and parasitic diseases,Commemorative events and holidays,Emergency medical services and trauma care,Cardiovascular and respiratory health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 166,https://www.congress.gov/bill/118th-congress/house-bill/166,118th Congress (2023-2024),Fair Lending for All Act,,"Green, Al [Rep.-D-TX-9]",1/9/23,Referred to the House Committee on Financial Services.,1/9/23,Finance and Financial Sector,Civil actions and liability,Consumer affairs,Consumer credit,Consumer Financial Protection Bureau,Executive agency funding and structure,Census and government statistics,"Sex, gender, sexual orientation discrimination",Age discrimination,Banking and financial institutions regulation,Business ethics,Racial and ethnic relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 639,https://www.congress.gov/bill/118th-congress/house-bill/639,118th Congress (2023-2024),Korematsu-Takai Civil Liberties Protection Act of 2023,,"Takano, Mark [Rep.-D-CA-39]",1/30/23,Referred to the House Committee on the Judiciary.,1/30/23,Crime and Law Enforcement,Correctional facilities and imprisonment,"Sex, gender, sexual orientation discrimination",Detention of persons,Racial and ethnic relations,Due process and equal protection,Religion,Disability and health-based discrimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Amdt. 621,https://www.congress.gov/amendment/118th-congress/house-amendment/621,118th Congress (2023-2024),"An amendment numbered 29 printed in Part B of House Report 118-261 to increase and decrease funding for the Office of the Chief Human Capital Officer at the Department of Housing and Urban Development to express concern regarding the Diversity Council and the associated race, ethnicity, gender, and sexual orientation-based Affinity or Employee Resource Groups.",H.R. 4820,"Grothman, Glenn [Rep.-R-WI-6]",,On agreeing to the Grothman amendment (A010) Agreed to by recorded vote: 213 - 210 (Roll no. 606). (consideration: CR H5493),11/7/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5145,https://www.congress.gov/bill/118th-congress/house-bill/5145,118th Congress (2023-2024),WISE Act of 2023,,"Jayapal, Pramila [Rep.-D-WA-7]",8/4/23,"Referred to the Subcommittee on Nutrition, Foreign Agriculture, and Horticulture.",9/21/23,Immigration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4281,https://www.congress.gov/bill/118th-congress/house-bill/4281,118th Congress (2023-2024),Protect Sexual and Reproductive Health Act of 2023,,"Bush, Cori [Rep.-D-MO-1]",6/22/23,Referred to the Subcommittee on Health.,6/23/23,Health,"Social work, volunteer service, charitable organizations",Sex and reproductive health,Health care coverage and access,Government information and archives,Executive agency funding and structure,Congressional oversight,Abortion,Community life and organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 149,https://www.congress.gov/bill/118th-congress/house-resolution/149,118th Congress (2023-2024),Condemning the illegal abduction of children from Ukraine to the Russian Federation.,,"Wild, Susan [Rep.-D-PA-7]",2/21/23,Ordered to be Reported in the Nature of a Substitute by the Yeas and Nays: 44 - 0.,11/7/23,International Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 867,https://www.congress.gov/bill/118th-congress/house-bill/867,118th Congress (2023-2024),National Commission on Renaming the J. Edgar Hoover FBI Headquarters Building Act of 2023,,"Connolly, Gerald E. [Rep.-D-VA-11]",2/8/23,Referred to the House Committee on Transportation and Infrastructure.,2/8/23,Government Operations and Politics,Advisory bodies,Congressional oversight,Constitution and constitutional amendments,Department of Justice,District of Columbia,Federal Bureau of Investigation (FBI),Federal officials,"Government buildings, facilities, and property",Racial and ethnic relations,"Sex, gender, sexual orientation discrimination",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2869,https://www.congress.gov/bill/118th-congress/house-bill/2869,118th Congress (2023-2024),School Shooting Safety and Preparedness Act,,"Wasserman Schultz, Debbie [Rep.-D-FL-25]",4/25/23,Referred to the House Committee on Education and the Workforce.,4/25/23,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5102,https://www.congress.gov/bill/118th-congress/house-bill/5102,118th Congress (2023-2024),ABLE MATCH (Making Able a Tool to Combat Hardship) Act,,"Dingell, Debbie [Rep.-D-MI-6]",8/1/23,Referred to the House Committee on Ways and Means.,8/1/23,Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 17,https://www.congress.gov/bill/118th-congress/house-bill/17,118th Congress (2023-2024),Paycheck Fairness Act,,"DeLauro, Rosa L. [Rep.-D-CT-3]",3/10/23,"Referred to the Committee on Education and the Workforce, and in addition to the Committee on Oversight and Accountability, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",3/10/23,Labor and Employment,Youth employment and child labor,Administrative law and regulatory procedures,Wages and earnings,Temporary and part-time employment,Small business,"Sex, gender, sexual orientation discrimination",Racial and ethnic relations,Public contracts and procurement,Minority employment,Labor standards,Government studies and investigations,Government information and archives,Equal Employment Opportunity Commission (EEOC),Employment discrimination and employee rights,Employment and training programs,Employee hiring,Department of Labor,Department of Education,Contracts and agency,Congressional oversight,Civil actions and liability,Business records,Women's employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3421,https://www.congress.gov/bill/118th-congress/house-bill/3421,118th Congress (2023-2024),Medicare for All Act,,"Jayapal, Pramila [Rep.-D-WA-7]",5/17/23,Referred to the Subcommittee on Health.,5/19/23,Health,Government information and archives,Inflation and prices,Insurance industry and regulation,Law enforcement administration and funding,Licensing and registrations,"Long-term, rehabilitative, and terminal care",Medicaid,Medical education,Medical research,Medical tests and diagnostic methods,Medicare,Mental health,Military medicine,Military personnel and dependents,Minority health,Natural disasters,Nursing,Prescription drugs,Public contracts and procurement,Racial and ethnic relations,Religion,Sex and reproductive health,"Sex, gender, sexual orientation discrimination",State and local government operations,Wages and earnings,Women's health,Worker safety and health,Accounting and auditing,Administrative remedies,Advisory bodies,Alternative treatments,Budget process,Child health,Competition and antitrust,Comprehensive health care,Congressional oversight,"Criminal investigation, prosecution, interrogation",Dental care,Department of Health and Human Services,Disability and health-based discrimination,Disability and paralysis,"Drug safety, medical device, and laboratory regulation","Drug, alcohol, tobacco use",Emergency medical services and trauma care,Employee benefits and pensions,Executive agency funding and structure,Fraud offenses and financial crimes,Government studies and investigations,Government trust funds,Health care costs and insurance,Health care coverage and access,Health care quality,Health facilities and institutions,Health information and medical records,Health personnel,Health programs administration and funding,Health promotion and preventive care,"Health technology, devices, supplies","Hearing, speech, and vision care",Home and outpatient care,Hospital care,Immigration status and procedures,Income tax credits,Indian social and development programs,Infectious and parasitic diseases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.J.Res. 92,https://www.congress.gov/bill/118th-congress/house-joint-resolution/92,118th Congress (2023-2024),"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Food and Nutrition Service relating to ""Application of Bostock v. Clayton County to Program Discrimination Complaint Processing-Policy Update"".",,"Franklin, C. Scott [Rep.-R-FL-18]",9/26/23,Referred to the House Committee on Agriculture.,9/26/23,Agriculture and Food,Administrative law and regulatory procedures,Congressional oversight,"Sex, gender, sexual orientation discrimination",Food assistance and relief,Poverty and welfare assistance,Department of Agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5,https://www.congress.gov/bill/118th-congress/house-bill/5,118th Congress (2023-2024),Parents Bill of Rights Act,,"Letlow, Julia [Rep.-R-LA-5]",3/1/23,"Received in the Senate and Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",3/27/23,Education,Government information and archives,Freedom of information,First Amendment rights,Elementary and secondary education,Child health,Academic performance and assessments,School administration,"Internet, web applications, social media",World history,Libraries and archives,State and local finance,State and local government operations,"Teaching, teachers, curricula",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 269,https://www.congress.gov/bill/118th-congress/house-resolution/269,118th Congress (2023-2024),"Recognizing that it is the duty of the Federal Government to develop and implement a Transgender Bill of Rights to protect and codify the rights of transgender and nonbinary people under the law and ensure their access to medical care, shelter, safety, and economic security.",,"Jayapal, Pramila [Rep.-D-WA-7]",3/30/23,Sponsor introductory remarks on measure. (CR H1860),4/19/23,"Civil Rights and Liberties, Minority Issues","Sex, gender, sexual orientation discrimination",Census and government statistics,"Teaching, teachers, curricula",Sex and reproductive health,School athletics,Mental health,Housing discrimination,"Health technology, devices, supplies",Health care coverage and access,Employment discrimination and employee rights,Due process and equal protection,Child safety and welfare,Abortion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4960,https://www.congress.gov/bill/118th-congress/house-bill/4960,118th Congress (2023-2024),Chyna Gibson Stop the Transgender Murder Epidemic Act of 2023,,"Jackson Lee, Sheila [Rep.-D-TX-18]",7/27/23,Referred to the House Committee on the Judiciary.,7/27/23,"Civil Rights and Liberties, Minority Issues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
